ID,ISBN,Автор,Артикул,Бумага,В продаже с,Вес,Возраст,Год издания,Год производства,Издательство,Иллюстраторы,Иллюстрации,Код товара,Место издания,Место производства,Название,Наличие,Обложка,Обрез,Описание,Перевод,Производитель,Размеры в мм (ДхШхВ),Рейтинг,Стикеры,Страниц,Тип обложки,Тираж,Тиснение,Формат,Футляр,Цена,Язык оригинала,Язык текста
873080,978-5-17-101557-2,Глуховский Д. А.,ASE000000000828054,,25.12.2016,1305 гр.,,2017,,АСТ,,,873080,Москва,,Метро 2033. Метро 2034. Метро 2035. Глуховский Д. А.,True,/image/book/552/w259/i552835.jpg,,,,,260x205,5,Идея подарка,848,Твердый переплет,2500 экз.,,84х108 1/16,,,,русский
880701,978-5-00111-004-0,Хантер Э.,178181,,16.03.2017,340 гр.,11 +,2017,,Абрис,Насыров Леонид Хамидович,,880701,СПб,,Бушующая стихия. Хантер Э.,True,/image/book/559/w259/i559614.jpg,,,Максимова В.,,200x130,0,,315,Твердый переплет,4000 экз.,,84х108 1/32,,,английский,русский
880702,978-5-00111-020-0,Хантер Э.,178184,,16.03.2017,340 гр.,11 +,2017,,Абрис,Насыров Леонид Хамидович,,880702,СПб,,Огонь и лед. Хантер Э.,True,/image/book/559/w259/i559613.jpg,,,Максимова В.,,200x130,0,,317,Твердый переплет,4000 экз.,,84х108 1/32,,,английский,русский
883589,,Достоевский Ф. М.,,,12.04.2017,4880 гр.,,2013,,,,,883589,СПб,,Братья Карамазовы. В 2 томах,True,/image/book/562/w259/i562080.jpg,,,,,240x170,0,,1312,Твердый переплет,,,70х100 1/16,Вставной,,,русский
884205,978-5-17-103090-2,Достоевский Ф. М.,ASE000000000829671,,18.04.2017,160 гр.,,2017,,АСТ,,,884205,Москва,,Игрок. Достоевский Ф. М.,True,/image/book/562/w259/i562463.jpg,,,,,180x115,0,,224,Мягкая обложка,5000 экз.,,76х100 1/32,,,,русский
886733,978-5-389-12730-2,Роулинг Дж. К.,А0000013170,,16.05.2017,380 гр.,11 +,2017,,Азбука-Аттикус,,,886733,СПб,,Фантастические твари и где они обитают. Оригинальный сценарий.,True,/image/book/564/w259/i564680.jpg,,,,,,0,,304,Твердый переплет+суперобложка,50000 экз.,,85х108 1/32,,,английский,русский
887390,978-5-93898-608-4,Достоевский Ф. М.,,,18.05.2017,1280 гр.,,2017,,,,,887390,СПб,,Белые ночи. Петербургская летопись,True,/image/book/565/w259/i565338.jpg,,,,,240x170,0,,448,Кожаный переплет (Cabra),1000 экз.,,70х100 1/16,,,,русский
888162,5-7000-0010-5,Достоевский Ф. М.,,Офсетная,24.05.2017,1545 гр.,,2001,,,,Без иллюстраций,888162,Москва,,Сочинения,True,/image/book/566/w259/i566325.jpg,Окрашенный,,,,240x170,0,,1040,Кожаный переплет,,Блинтовое (бескрасочное плоскоуглубленное изображение),70х100 1/16,,,,русский
888848,978-5-389-12732-6,Роулинг Дж. К.,А0000013173,,26.05.2017,485 гр.,10 +,2017,,Махаон; Азбука-Аттикус,,,888848,Москва,,Сказки барда Бидля.,True,/image/book/567/w259/i567248.jpg,,,Спивак М.,,215x170,0,,136,Твердый переплет,15000 экз.,,70х90 1/16,,,английский,русский
892702,978-5-389-12315-1,Достоевский Ф. М.,А0000012565,,10.07.2017,345 гр.,,2017,,Азбука; Азбука-Аттикус,,,892702,Москва,,Униженные и оскорбленные. Достоевский Ф. М.,True,/image/book/571/w259/i571167.jpg,,,,,200x130,0,,448,Твердый переплет,5000 экз.,,84х108 1/32,,,,русский
898897,,Достоевский Ф. М.,1120,Дизайнерская,14.09.2017,1675 гр.,,2013,,,,Без иллюстраций,898897,Самара,,Братья Карамазовы,True,/image/book/576/w259/i576797.jpg,Торшонированный окрашенный,,,,245x155,0,,780,Твердый переплет (Переплетный материал VIP-класса Madera),50 экз.,Рельефное (бескрасочное или цветное многоуровневое изображение),155х245 мм,,,,русский
901471,978-5-17-086722-6,Фрай М.,AST000000000169864,,06.10.2017,1265 гр.,,2017,,АСТ,,,901471,Москва,,Чужак (репринтное издание). Фрай М.,True,/image/book/579/w259/i579163.jpg,,,,,240x170,0,,752,Твердый переплет,3000 экз.,,70х100 1/16,,,,русский
